quoteGroupId,mark,spot,strikePrice,daysToExpiration,vol,symbol,delta,gamma,theta,bid,openInterest,ask,expirationDate,putCall
2021-10-14T06:30:10.0,329.5,3298.75,2970,1,46.679,AMZN_101521C2970,0.994,0.0,-0.447,323.1,2,335.9,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,319.4,3298.75,2980,1,45.733,AMZN_101521C2980,0.994,0.0,-0.473,312.8,1,326.0,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,310.33,3298.75,2990,1,44.741,AMZN_101521C2990,0.993,0.0,-0.499,307.4,4,313.25,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,304.58,3298.75,2995,1,44.228,AMZN_101521C2995,0.993,0.0,-0.511,298.1,3,311.05,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,299.63,3298.75,3000,1,43.706,AMZN_101521C3000,0.993,0.0,-0.524,295.9,849,303.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,294.4,3298.75,3005,1,43.175,AMZN_101521C3005,0.992,0.0,-0.536,288.0,2,300.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,284.77,3298.75,3015,1,42.085,AMZN_101521C3015,0.992,0.0,-0.559,278.55,4,291.0,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,274.58,3298.75,3025,1,40.962,AMZN_101521C3025,0.991,0.0,-0.581,268.3,4,280.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,270.4,3298.75,3030,1,40.389,AMZN_101521C3030,0.991,0.0,-0.592,267.35,2,273.45,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,262.75,3298.75,3035,1,39.808,AMZN_101521C3035,0.99,0.0,-0.603,258.6,1,266.9,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,255.43,3298.75,3045,1,38.626,AMZN_101521C3045,0.989,0.0,-0.624,252.4,1,258.45,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,249.77,3298.75,3050,1,38.024,AMZN_101521C3050,0.989,0.0,-0.634,245.7,114,253.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,240.48,3298.75,3060,1,37.126,AMZN_101521C3060,0.988,0.0,-0.685,237.6,2,243.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,234.8,3298.75,3065,1,36.646,AMZN_101521C3065,0.987,0.0,-0.71,230.9,1,238.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,225.58,3298.75,3075,1,35.639,AMZN_101521C3075,0.985,0.0,-0.758,222.0,1,229.15,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,219.88,3298.75,3080,1,35.114,AMZN_101521C3080,0.984,0.0,-0.781,215.95,3,223.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,214.9,3298.75,3085,1,34.572,AMZN_101521C3085,0.984,0.0,-0.804,211.0,1,218.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,209.93,3298.75,3090,1,34.017,AMZN_101521C3090,0.983,0.0,-0.826,205.6,4,214.25,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,204.93,3298.75,3095,1,33.446,AMZN_101521C3095,0.982,0.0,-0.847,200.6,2,209.25,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,200.6,3298.75,3100,1,32.864,AMZN_101521C3100,0.981,0.001,-0.867,197.1,540,204.1,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,193.83,3298.75,3105,1,32.267,AMZN_101521C3105,0.98,0.001,-0.887,188.85,8,198.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,190.6,3298.75,3110,1,31.659,AMZN_101521C3110,0.979,0.001,-0.906,187.6,114,193.6,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,183.85,3298.75,3115,1,31.039,AMZN_101521C3115,0.978,0.001,-0.925,178.9,12,188.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,178.77,3298.75,3120,1,30.536,AMZN_101521C3120,0.976,0.001,-0.961,173.85,13,183.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,173.68,3298.75,3125,1,30.01,AMZN_101521C3125,0.974,0.001,-0.996,168.75,5,178.6,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,170.6,3298.75,3130,1,29.485,AMZN_101521C3130,0.973,0.001,-1.033,167.35,15,173.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,163.9,3298.75,3135,1,28.977,AMZN_101521C3135,0.971,0.001,-1.074,159.05,17,168.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,158.85,3298.75,3140,1,28.444,AMZN_101521C3140,0.969,0.001,-1.114,154.0,16,163.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,153.93,3298.75,3145,1,27.885,AMZN_101521C3145,0.966,0.001,-1.152,149.0,9,158.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,150.65,3298.75,3150,1,27.379,AMZN_101521C3150,0.964,0.001,-1.201,147.4,221,153.9,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,145.82,3298.75,3155,1,26.842,AMZN_101521C3155,0.961,0.001,-1.248,142.6,5,149.05,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,140.98,3298.75,3160,1,26.301,AMZN_101521C3160,0.958,0.001,-1.296,138.1,77,143.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,136.0,3298.75,3165,1,25.824,AMZN_101521C3165,0.954,0.001,-1.36,133.05,12,138.95,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,130.98,3298.75,3170,1,25.308,AMZN_101521C3170,0.95,0.001,-1.419,127.9,103,134.05,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,126.07,3298.75,3175,1,24.755,AMZN_101521C3175,0.946,0.002,-1.474,123.05,81,129.1,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,120.45,3298.75,3180,1,24.169,AMZN_101521C3180,0.942,0.002,-1.526,114.55,364,126.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,115.28,3298.75,3185,1,23.806,AMZN_101521C3185,0.936,0.002,-1.628,111.45,281,119.1,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,112.73,3298.75,3190,1,23.418,AMZN_101521C3190,0.929,0.002,-1.731,108.6,1358,116.85,2021-10-15T20:00:00.0,CALL
